"Referência principal";Referência;"Código de barras";Peso;"Preço principal";"Preço promocional";"Começa em";"Termina em";Stock;Variação{{>}}opção;Imagem;Imagem
JTALBCP;;;0.000;68;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBCP;;;0.000;75;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBCP;;;0.000;68.5;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBCP;;;0.000;76;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBCP;;;0.000;77.5;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBCP;;;0.000;77.5;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBCP;;;0.000;90;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALBCP;;;0.000;96;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10PR;;;0.000;172;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10PR;;;0.000;154;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10PR;;;0.000;257;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10CP;;;0.000;77;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10CP;;;0.000;78;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10CP;;;0.000;92;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10CP;;;0.000;125;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10CP;;;0.000;157;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALW10CP;;;0.000;227;0;0000-00-00;0000-00-00;0.000;{{>}};;
